Year,Baseline,Lower95CI,Upper95CI,Optimistic,Pessimistic
2025,55.68,42.3,69.07,62.51,48.86
2026,58.5,45.11,71.89,65.33,51.67
2027,61.32,47.93,74.7,68.14,54.49
